Question,Option 0,Option 1,Option 2,Option 3,Answer,
1. Which statement is true about Java?,Java is a sequence-dependent programming language,Java is a code dependent programming language,Java is a platform-dependent programming language,Java is a platform-independent programming language,3,
"2. Which component is used to compile, debug and execute the java programs?",JRE,jdk,JVM,None of the above,1,
3. In Java 'this' and 'super' can't use with -,Constructor,Non static context,static context,None of the above,2,
"4. When we implement an interface method, it should be declared as public",TRUE,FALSE,0,0,0,
5. Any class may be inherited by another class in the package,TRUE,FALSE,0,0,0,
6. A class may be both abstract and final,TRUE,FALSE,0,0,0,
7. Who developed Java Language?,Ryan Gosling,James Bond,James Gosling,None of the above,2,
8. Start From here now. Select your 10 questions add only that,,,,,-1,
9. Main method in JAVA is ,static,non static ,can be both,none of the above,0,
"10. if main method in JAVA is not void and not public, it will......",run perfectly,throw run time error,syntax error,compile time error,1,
"11. In static Polymorphism, the method to be called .....",will be resolved at run time ,will be resolved at compile time,either of both,will be resolved at both compile time and run time,1,
12. Which feature of OOPS gives code reusability?,Abstraction,Polymorphism,Inheritance,Encapsulation,2,
13. Which among the following doesn't come under OOPs concept?,Data binding,Data hiding,Message passing,Platform independent,3,
14. Feature by which one object interacts with other object.,Message reading,Data binding,Data transfer,Message passing,3,
15. What is encapsulation in OOP?,way of combining various data members and member functions that operate on those data members into a single unit,way of combining various data members and member functions into a single unit which can operate on any data,way of combining various data members into a single unit,way of combining various member functions into a single unit,0,
16. Which access specifier is usually used for data members with purpose of high security of a class?,public ,protected,default,private,2,
17. Which of these packages contains abstract keyword?,java.lang,java.util,java.io,java.system,0,
18. Which of these class is superclass of every class in Java?,String,Object,Abstract,ArrayList,1,
19. What is the implicit return type of constructor?,no return type,void,class object in which it is defined,int,2,
20. When does Exceptions in Java arises in code sequence?,Run Time,Compilation Time,Can Occur Any Time,None of the mentioned,0,
21. Which of these keywords must be used to monitor for exceptions?,try,finally ,throw,catch,0,
22. Which of these methods can be used to obtain a static array from an ArrayList object?,Array(),covertArray(),toArray(),covertoArray(),2,
"23. If two threads access the same hashmap at the same time, what would happen?",ConcurrentModificationException,NullPointerException,ClassNotFoundException,RuntimeException,0,
"24. If large number of items are stored in hash bucket, what happens to the internal structure?",The bucket will switch from LinkedList to BalancedTree,The bucket will increase its size by a factor of load size defined,The LinkedList will be replaced by another hashmap,Any further addition throws Overflow exception,0,
25. How is Arrays.asList() different than the standard way of initialising List?,Both are same,Arrays.asList() throws compilation error,Arrays.asList() returns a fixed length list and doesn’t allow to add or remove elements,We cannot access the list returned using Arrays.asList(),2,
26. Which of these exception is thrown by close() and read() methods?,IOException,FileNotFoundException,FileException,FileInputOutputException,0,
27. Select valid statement,char [] ch = new char (5),char [] ch = new char [5],char [] ch = new char (),char [] ch = new char [],2,
28. In java arrays are ,Objects,Object reference,Preemitive data types,None of the mentioned,2,
29. Automatic type conversion is possible in which of the possible cases,Byte to int,int to long ,long to int ,short to int,2,
30. Which of the following is a superclass of every class in Java?,ArrayList,Abstract class,Object class,String,3,
31. Which of these keywords are used for the block to be examined for exceptions?,check,throw,catch,try,4,
32. Which one of the following is not an access modifier?,Protected,Void,Public,Private,2,
33. What is the numerical range of a char data type in Java?,0 to 256,-128 to 127,0 to 65535,0 to 32767,3,
34. Which class provides system independent server side implementation?,Server,ServerReader,Socket,ServerSocket,4,
35. Which environment variable is used to set the java path?,MAVEN_Path,JavaPATH,JAVA,JAVA_HOME,4,
36. Which of the following is not an OOPS concept in Java?,Polymorphism,Inheritance,Compilation,Encapsulation,3,
37. What is not the use of “this” keyword in Java?,Referring to the instance variable when a local variable has the same name,Passing itself to the method of the same class,Passing itself to another method,Calling another constructor in constructor chaining,2,
38. What will be the error in the following Java code?,b cannot contain value 50,"b cannot contain value 100, limited by its range",No error in this code,"* operator has converted b * 50 into int, which can not be converted to byte without casting",4,
39. Which of the following is a type of polymorphism in Java Programming?,Multiple polymorphism,Compile time polymorphism,Multilevel polymorphism,Execution time polymorphism,2,
